Treatment,Groups,Number,Body weight (mg)
0.04%GLS+dsEGFP,C,4,n/a
0.04%GLS+dsEGFP,C,5,241
0.04%GLS+dsEGFP,C,6,204
0.04%GLS+dsEGFP,C,7,n/a
0.04%GLS+dsEGFP,C,8,n/a
0.04%GLS+dsEGFP,C,9,n/a
0.04%GLS+dsEGFP,C,10,n/a
0.04%GLS+dsEGFP,C,11,195
0.04%GLS+dsEGFP,C,12,209
0.04%GLS+dsEGFP,C,13,n/a
0.04%GLS+dsEGFP,C,14,n/a
0.04%GLS+dsEGFP,C,15,231
0.04%GLS+dsEGFP,C,16,217
0.04%GLS+dsEGFP,C,17,n/a
0.04%GLS+dsEGFP,C,18,n/a
0.04%GLS+dsEGFP,C,19,206
0.04%GLS+dsSumf1,A,1,n/a
0.04%GLS+dsSumf1,A,2,178
0.04%GLS+dsSumf1,A,3,n/a
0.04%GLS+dsSumf1,A,4,n/a
0.04%GLS+dsSumf1,A,5,168
0.04%GLS+dsSumf1,A,6,n/a
0.04%GLS+dsSumf1,A,7,n/a
0.04%GLS+dsSumf1,A,8,n/a
0.04%GLS+dsSumf1,A,9,147
0.04%GLS+dsSumf1,A,10,n/a
0.04%GLS+dsSumf1,A,11,188
0.04%GLS+dsSumf1,A,12,n/a
0.04%GLS+dsSumf1,A,13,145
0.04%GLS+dsSumf1,A,14,n/a
0.04%GLS+dsSumf1,A,15,n/a
0.04%GLS+dsSumf1,A,16,n/a
0.04%GLS+dsSumf1,A,17,n/a
0.04%GLS+dsSumf1,A,18,169
0.04%GLS+dsSumf1,B,1,172
0.04%GLS+dsSumf1,B,2,n/a
0.04%GLS+dsSumf1,B,3,n/a
0.04%GLS+dsSumf1,B,4,152
0.04%GLS+dsSumf1,B,5,n/a
0.04%GLS+dsSumf1,B,6,n/a
0.04%GLS+dsSumf1,B,7,n/a
0.04%GLS+dsSumf1,B,8,n/a
0.04%GLS+dsSumf1,B,9,167
0.04%GLS+dsSumf1,B,10,n/a
0.04%GLS+dsSumf1,B,11,n/a
0.04%GLS+dsSumf1,B,12,n/a
0.04%GLS+dsSumf1,B,13,n/a
0.04%GLS+dsSumf1,B,14,n/a
0.04%GLS+dsSumf1,B,15,171
0.04%GLS+dsSumf1,B,16,n/a
0.04%GLS+dsSumf1,B,17,n/a
0.04%GLS+dsSumf1,B,18,154
0.04%GLS+dsSumf1,C,1,n/a
0.04%GLS+dsSumf1,C,2,n/a
0.04%GLS+dsSumf1,C,3,n/a
0.04%GLS+dsSumf1,C,4,n/a
0.04%GLS+dsSumf1,C,5,165
0.04%GLS+dsSumf1,C,6,n/a
0.04%GLS+dsSumf1,C,7,153
0.04%GLS+dsSumf1,C,8,n/a
0.04%GLS+dsSumf1,C,9,n/a
0.04%GLS+dsSumf1,C,10,177
0.04%GLS+dsSumf1,C,11,n/a
0.04%GLS+dsSumf1,C,12,n/a
0.04%GLS+dsSumf1,C,13,n/a
0.04%GLS+dsSumf1,C,14,149
0.04%GLS+dsSumf1,C,15,n/a
0.04%GLS+dsSumf1,C,16,n/a
0.04%GLS+dsSumf1,C,17,153
0.04%GLS+dsSumf1,C,18,n/a
0.04%GLS+dsSumf1,C,19,154
