Species,Protocol,RunID,Elapsed,A,Ci,Tleaf,CO2_r,PAR,VPDleaf
Tobacco,Random,Random_1,1947.5,18.21849885,292.8833112,999.9,399.9889,999.9853,1.496937891
Tobacco,Random,Random_1,2151,24.43823763,1071.385565,999.9,1250.002,1000.010167,1.52021673
Tobacco,Random,Random_1,2271.5,17.23356764,281.2280792,999.9,399.9698667,1000.035767,1.513264756
Tobacco,Random,Random_1,2392,17.61937403,279.4593858,999.9,400.0134667,999.9761333,1.493177454
Tobacco,Random,Random_1,2512.5,17.81353289,279.9152525,999.9,399.9965333,999.9827667,1.48923109
Tobacco,Random,Random_1,2633,17.70202885,282.1438169,999.9,399.9886333,999.9901667,1.48838998
Tobacco,Random,Random_1,2753.5,17.89152167,282.8380186,999.9,400.0108333,999.9706667,1.490755904
Tobacco,Random,Random_1,2874,16.09897342,246.6073194,999.9,350.0092333,1000.053533,1.491197883
Tobacco,Random,Random_1,2996.5,18.01473691,285.5765187,999.9,400.0090667,1000.001433,1.494905694
Tobacco,Random,Random_1,3117,18.05773914,286.696363,999.9,399.9915667,999.995,1.491179472
Tobacco,Random,Random_1,3237.5,11.73043237,177.4621827,999.9,249.9902667,1000.014833,1.494183411
Tobacco,Random,Random_1,3367.1,17.91652789,290.4881016,999.9,400.0033667,1000.015133,1.490969072
Tobacco,Random,Random_1,3487.6,18.2289334,289.4849546,999.9,399.9979667,999.9939667,1.492101142
Tobacco,Random,Random_1,3698.1,25.91090793,1543.380693,999.9,1749.931333,999.9992667,1.519398184
Tobacco,Random,Random_1,3834.6,17.17170567,276.9782802,999.9,399.9671667,999.9708333,1.507936877
Tobacco,Random,Random_1,3955.1,17.33875653,276.895538,999.9,400.0027,999.9767667,1.500265041
Tobacco,Random,Random_1,4089.6,23.70141296,623.8805799,999.9,799.9935,999.9871,1.499772196
Tobacco,Random,Random_1,4210.1,17.23045785,268.5538766,999.9,399.9701,999.9843667,1.510123589
Tobacco,Random,Random_1,4330.6,17.28415459,270.3707312,999.9,399.9917333,999.9875667,1.492491653
Tobacco,Random,Random_1,4467.1,27.81629225,1268.18225,999.9,1500.007667,999.9954,1.493479223
Tobacco,Random,Random_1,4587.6,16.99459515,264.9601316,999.9,399.9997,999.9701333,1.510541791
Tobacco,Random,Random_1,4708.1,17.07363457,266.8005165,999.9,399.9961,1000.010167,1.490912117
Tobacco,Random,Random_1,4829,13.33080642,200.0386835,999.9,300.0016452,1000.023774,1.488429514
Tobacco,Random,Random_1,4949.5,17.58272104,272.9300024,999.9,399.9931,999.9837,1.485589851
Tobacco,Random,Random_1,5070,17.85574371,274.8517422,999.9,400.0171333,1000.005,1.489337983
Tobacco,Random,Random_1,5194.5,23.4692745,533.8863037,999.9,700.0014,999.9985,1.493645098
Tobacco,Random,Random_1,5315,17.80160592,275.8397432,999.9,399.999,1000.0064,1.505029685
Tobacco,Random,Random_1,5435.5,17.94056107,276.6529578,999.9,400.0118667,1000,1.491138664
Tobacco,Random,Random_1,5556,6.292309951,107.383029,999.9,149.9919,1000.0013,1.491384746
Tobacco,Random,Random_1,5677.5,17.54332767,284.7506862,999.9,400.0102333,999.9979667,1.491132069
Tobacco,Random,Random_1,5798,18.37299829,281.8792895,999.9,400.0208333,999.9980667,1.491567384
Tobacco,Random,Random_1,5918.5,22.3035996,452.5999166,999.9,599.9925,999.9993333,1.496333915
Tobacco,Random,Random_1,6039,18.14801184,281.0764929,999.9,399.9941,1000.005167,1.505470602
Tobacco,Random,Random_1,6159.5,18.13959793,281.1840665,999.9,400.0171,1000.003833,1.497025606
Tobacco,SplitDownUp,SplitDownUp_2,0,14.48791155,311.7166887,25.00303871,400.0110323,1000.004516,1.032094602
Tobacco,SplitDownUp,SplitDownUp_2,120.5,15.0707591,328.160098,25.00224667,420.0034,999.9945667,1.032470208
Tobacco,SplitDownUp,SplitDownUp_2,241,13.06577701,270.5799256,24.99376333,349.9912333,1000.010367,1.029908412
Tobacco,SplitDownUp,SplitDownUp_2,361.5,9.302985948,193.696834,25.00169,249.9937667,1000.010833,1.027117783
Tobacco,SplitDownUp,SplitDownUp_2,482,4.813199329,120.6632381,24.99033667,149.9945333,999.974,1.028690626
Tobacco,SplitDownUp,SplitDownUp_2,602.5,-0.216915057,49.99723473,24.99728,50.00485,1000.066133,1.025507302
Tobacco,SplitDownUp,SplitDownUp_2,723.0999999,2.340463491,85.37536052,24.99877419,99.99884194,1000.01371,1.026771913
Tobacco,SplitDownUp,SplitDownUp_2,843.5999999,7.180623787,157.9167301,24.99546667,199.9964333,999.9979333,1.028057441
Tobacco,SplitDownUp,SplitDownUp_2,964.0999999,11.34399343,234.1984312,25.01417333,299.9897,999.9887,1.030636516
Tobacco,SplitDownUp,SplitDownUp_2,1084.6,15.01886283,333.049267,25.00405,420.0097667,999.9990333,1.028874791
Tobacco,SplitDownUp,SplitDownUp_2,1205.1,15.22416606,331.8011585,25.00533,419.9971,1000.0104,1.031115381
Tobacco,SplitDownUp,SplitDownUp_2,1325.6,15.22732006,331.1083615,24.99846333,420.0025,999.9951333,1.03568785
Tobacco,SplitDownUp,SplitDownUp_2,1446.1,16.96021084,398.6346061,25.01209,500.0029667,1000.006867,1.040721084
Tobacco,SplitDownUp,SplitDownUp_2,1566.6,18.9789543,580.9644378,25.00656333,699.9898667,1000.024833,1.040522832
Tobacco,SplitDownUp,SplitDownUp_2,1693.1,19.55784498,863.0633036,25.00663333,999.9835333,1000.011433,1.045520845
Tobacco,SplitDownUp,SplitDownUp_2,1837.6,18.09573667,1347.010075,25.01438667,1499.991667,1000.0003,1.048958606
Tobacco,SplitDownUp,SplitDownUp_2,1958.1,19.38033415,1566.157981,25.01275333,1749.945,1000.000167,1.05019944
Tobacco,SplitDownUp,SplitDownUp_2,2094.6,19.72579044,1052.984417,25.00151,1249.971333,1000.011233,1.044336829
Tobacco,SplitDownUp,SplitDownUp_2,2220.1,18.7598941,601.9592067,24.99227667,799.9906667,1000.013067,1.039407562
Tobacco,SplitDownUp,SplitDownUp_2,2341,16.52573331,419.4161544,24.99437742,600.0037097,1000.01971,1.037187668
Tobacco,SplitDownUp,SplitDownUp_2,2461.5,12.32713885,285.3376084,24.9905,419.9836667,1000.011667,1.035251639
Tobacco,DAT,DAT_2,5,6.98238069,110.300222,24.99817778,55.7515,1000.006556,1.49648885
Tobacco,DAT,DAT_2,25,2.262566582,69.86951637,25.01265556,102.3768778,1000.003889,1.493931407
Tobacco,DAT,DAT_2,35,3.5054423,86.58031042,25.00783333,135.746,1000.001222,1.491825869
Tobacco,DAT,DAT_2,40,4.275179965,96.33437285,25.00224,151.5876,1000.0016,1.491190839
Tobacco,DAT,DAT_2,50,5.965464028,118.7419323,24.9964,184.9671,999.9993,1.489595344
Tobacco,DAT,DAT_2,55,6.932961551,130.819184,24.99258889,203.1972222,999.9971111,1.48822922
Tobacco,DAT,DAT_2,60,7.828326052,141.6764625,24.98944,219.174,1000.0001,1.487649356
Tobacco,DAT,DAT_2,65,8.680462758,154.5284462,24.98988889,236.9982222,1000.007556,1.488446627
Tobacco,DAT,DAT_2,70,9.582359594,165.4211721,24.98693,252.8526,1000.0079,1.488262774
Tobacco,DAT,DAT_2,80,11.51993155,188.688283,24.97335,286.4958,1000.0017,1.488181488
Tobacco,DAT,DAT_2,85,12.20047662,202.0264424,24.97341111,304.3014444,1000.000667,1.488770237
Tobacco,DAT,DAT_2,95,14.14472291,225.1430244,24.98368889,337.9787778,1000.006333,1.490351681
Tobacco,DAT,DAT_2,105,15.92304803,248.6060644,24.97255556,370.6356667,1000.009889,1.487412142
Tobacco,DAT,DAT_2,110,16.54910435,260.1321236,24.97756,385.9188,999.9808,1.487962
Tobacco,DAT,DAT_2,135,19.89196365,324.5221886,24.98017778,470.9241111,999.9931111,1.488267177
Tobacco,DAT,DAT_2,140,20.52838802,336.8079412,24.98463,486.6812,1000.0044,1.488561522
Tobacco,DAT,DAT_2,144.5,20.66977501,350.24378,24.97995,501.6658,1000.11,1.486584084
Tobacco,DAT,DAT_2,150,21.74643244,363.6818724,24.99055,520.3665,1000.0244,1.488834194
Tobacco,DAT,DAT_2,164.5,22.70117227,405.3101453,24.98683,568.7037,1000.0491,1.490014176
Tobacco,DAT,DAT_2,170,22.9795415,421.8565236,24.99249,587.5148,1000.0387,1.490812697
Tobacco,DAT,DAT_2,175,23.06755713,438.1982069,24.99687778,605.2154444,1000.029667,1.491198413
Tobacco,DAT,DAT_2,195,23.93905112,499.4066186,24.99847778,672.2752222,999.9598889,1.492188437
Tobacco,DAT,DAT_2,200,23.76598802,514.9441679,24.99082,687.9482,999.957,1.492029896
Tobacco,DAT,DAT_2,230,23.43728005,613.7436908,24.98134,788.7574,1000.0679,1.489704445
Tobacco,DAT,DAT_2,235,23.46768537,631.0259018,24.98323333,806.4436667,999.9331111,1.490505698
Tobacco,DAT,DAT_2,240,23.45422298,646.3384765,24.98214,822.1555,999.9674,1.490698849
Tobacco,DAT,DAT_2,245,23.50142425,663.1827003,24.98527778,839.897,999.9166667,1.491292257
Tobacco,DAT,DAT_2,250,23.45694842,678.6456917,24.98246,855.6609,1000.0455,1.490300379
Tobacco,DAT,DAT_2,255,23.50864635,695.6005209,24.9883,873.7125556,1000.130556,1.49111965
Tobacco,DAT,DAT_2,265,23.27688396,728.5644609,24.99546667,905.7002222,999.9584444,1.49194139
Tobacco,DAT,DAT_2,270,23.75828418,741.8039908,24.99633,921.3576,999.9804,1.491954275
Tobacco,DAT,DAT_2,275,23.53604004,759.3892106,24.99224444,938.9525556,999.96,1.492047874
Tobacco,DAT,DAT_2,280,23.46131576,774.5531773,25.00041,954.811,999.9973,1.49425243
Tobacco,DAT,DAT_2,284.5,23.76174927,787.6953114,25.00083,969.651,1000.0416,1.494714723
Tobacco,DAT,DAT_2,289.5,23.48037045,805.7870208,25.00386667,987.5697778,1000.025778,1.495395278
Tobacco,DAT,DAT_2,294.5,23.34938222,821.4424002,25.0033,1003.2329,1000.0285,1.496114833
Tobacco,DAT,DAT_2,299.5,23.70005289,837.2087613,25.00236667,1020.908889,999.9661111,1.496544419
Tobacco,DAT,DAT_2,304.5,23.44890657,853.1398925,25.00418,1036.727,1000.0455,1.497028753
Tobacco,DAT,DAT_2,309.5,23.2777938,871.0602637,24.99604444,1054.704444,999.9638889,1.496654729
Tobacco,DAT,DAT_2,314.5,23.46434111,885.7320354,24.99659,1070.22,999.9684,1.498236416
Tobacco,DAT,DAT_2,319.5,23.35876918,902.9230788,24.9944,1088.001111,999.9768889,1.499714779
Tobacco,DAT,DAT_2,329.5,23.1677609,935.5164655,25.00118889,1121.161111,999.9395556,1.503450024
Tobacco,DAT,DAT_2,334.5,23.07935699,950.8204324,25.00706,1137.015,999.9471,1.505487613
Tobacco,DAT,DAT_2,339.5,23.13002724,967.8218979,25.00194444,1155.528889,999.9524444,1.50628852
Tobacco,DAT,DAT_2,344.5,23.31562334,982.3481069,24.99983,1170.81,1000.0306,1.507529382
Tobacco,DAT,DAT_2,349.5,23.24355234,999.3095179,25.0047,1188.445556,1000.002556,1.509059416
Tobacco,DAT,DAT_2,354.5,23.23970432,1014.074565,25.00832,1204.406,999.9775,1.510782279
Tobacco,DAT,DAT_2,359.5,23.33955893,1030.922836,25.00397778,1221.921111,1000.033333,1.511567858
Tobacco,DAT,DAT_2,364.5,23.55988824,1044.604646,25.00749,1237.694,999.9832,1.512813592
Tobacco,DAT,DAT_2,369.5,23.11874897,1062.883818,25.00435556,1255.425556,1000.008222,1.512810433
Tobacco,DAT,DAT_2,374.5,23.52312836,1076.422373,25.00718,1271.206,999.9718,1.513812942
Tobacco,DAT,DAT_2,379.5,23.35503678,1093.754069,25.01103333,1288.931111,1000.001444,1.515815819
Tobacco,DAT,DAT_2,384.5,23.32725075,1108.616946,25.01659,1304.518,999.9996,1.517840885
Tobacco,DAT,DAT_2,414.5,23.21246467,1204.237002,25.0175,1405.427,1000.0026,1.519968016
Tobacco,DAT,DAT_2,419.5,23.26806847,1220.648261,25.01936667,1423.042222,1000.003333,1.520831758
Tobacco,DAT,DAT_2,424.5,23.76143221,1233.537956,25.00981,1438.909,999.9989,1.519040375
Tobacco,DAT,DAT_2,429.5,23.00222846,1253.519332,25.00643333,1456.026667,1000.002667,1.518581371
Tobacco,Random,Random_2,0,14.00405981,302.6912653,24.9923,400.0046774,1000.031097,1.022057026
Tobacco,Random,Random_2,120.5,13.98766596,304.300323,25.00193333,399.9964667,999.9988667,1.029047968
Tobacco,Random,Random_2,241,16.6649304,387.9179364,24.99361667,500.0045667,1000.0003,1.025007909
Tobacco,Random,Random_2,361.5,14.07291484,307.3277181,24.98987333,400.0079,999.9905333,1.025488465
Tobacco,Random,Random_2,482.0999999,14.13166548,308.258164,25.00414839,399.9929355,999.9951613,1.024999891
Tobacco,Random,Random_2,602.5999999,-0.312726004,50.66539029,24.99075333,49.99153667,1000.001567,1.024090353
