IDO1,CCR7,FOXP3,CD4,PDCD1,CCL22,EPCAM,CCL19,CD8A,CXCL10,CD3E,TCF7,AF_R3,AF_R2,AF_R1,nucleus_perim,slide,x,y,type,comp
0,1,3,5,1,0,0,0,0,2,1,0,0,0,0,15.958549,MSa29_05,16875,3527,Tregs,MSa29_05_1
6,2,0,19,3,0,0,0,0,3,0,0,0,0,0,18.950775,MSa29_05,16847.5,3528,mregDCs,MSa29_05_1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18.950775,MSa29_05,16891.5,3529.5,Other,MSa29_05_1
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18.452072,MSa29_05,16749.5,3532.5,Other,MSa29_05_1
0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,12.467616,MSa29_05,16763,3530.5,Other,MSa29_05_1
0,2,0,5,0,0,0,0,0,0,3,1,0,0,0,11.968911,MSa29_05,16805,3533,TCF7+ CD4 T cells,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14.462435,MSa29_05,16733.5,3533.5,Other,MSa29_05_1
7,0,0,16,0,0,0,0,0,70,0,0,0,0,0,19.948185,MSa29_05,16865.5,3538.5,CXCL10+ EPCAM- cells,MSa29_05_1
0,0,1,6,0,0,0,0,0,0,0,5,0,0,0,12.96632,MSa29_05,16816.5,3538.5,Other,MSa29_05_1
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10.971502,MSa29_05,16785,3537.5,Other,MSa29_05_1
0,0,1,17,0,0,0,1,0,0,1,0,0,0,0,27.428755,MSa29_05,16900.5,3545.5,CCL19+ cells,MSa29_05_1
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24.935232,MSa29_05,16746.5,3548,Other,MSa29_05_1
0,1,0,8,0,0,0,0,0,16,0,0,0,0,0,38.89896,MSa29_05,16827,3552,CXCL10+ EPCAM- cells,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,10.971502,MSa29_05,16883,3544,TCF7- CD4 T cells,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16.457253,MSa29_05,16801.5,3548.5,Other,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16784.5,3551.5,Other,MSa29_05_1
7,5,2,13,7,0,0,0,0,44,5,0,0,0,2,14.462435,MSa29_05,16856,3552.5,AF,MSa29_05_1
0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,11.968911,MSa29_05,16871.5,3552.5,CXCL10+ EPCAM- cells,MSa29_05_1
0,1,0,5,0,0,0,0,0,0,2,2,0,0,0,9.475388,MSa29_05,16884.5,3555.5,TCF7+ CD4 T cells,MSa29_05_1
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13.96373,MSa29_05,16812.5,3561.5,Other,MSa29_05_1
0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,19.948185,MSa29_05,16769.5,3565,Other,MSa29_05_1
0,0,13,7,0,0,0,1,0,0,1,3,0,0,0,15.958549,MSa29_05,16867.5,3565.5,Tregs,MSa29_05_1
0,0,0,7,0,0,0,0,0,0,3,1,0,0,0,14.961139,MSa29_05,16885,3567,TCF7+ CD4 T cells,MSa29_05_1
0,1,1,4,0,0,0,0,0,0,1,3,0,0,0,29.922277,MSa29_05,16798,3572,Other,MSa29_05_1
0,0,1,5,0,0,0,2,0,4,4,6,0,0,0,20.44689,MSa29_05,16845.5,3567.5,CXCL10+ EPCAM- cells,MSa29_05_1
0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,13.96373,MSa29_05,16916,3566.5,Other,MSa29_05_1
0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,19.948185,MSa29_05,16741.5,3569.5,Other,MSa29_05_1
0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,19.948185,MSa29_05,16899,3571,TCF7- CD4 T cells,MSa29_05_1
0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,14.961139,MSa29_05,16860,3570.5,Other,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13.465025,MSa29_05,16854.5,3580,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25.93264,MSa29_05,16783,3582,Other,MSa29_05_1
0,1,0,11,2,0,0,0,0,0,2,6,0,0,0,20.945595,MSa29_05,16826.5,3581,TCF7+ CD4 T cells,MSa29_05_1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10.971502,MSa29_05,16914,3578.5,Other,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.96373,MSa29_05,16808.5,3581.5,Other,MSa29_05_1
0,0,1,6,1,0,0,0,0,0,0,6,0,0,0,12.467616,MSa29_05,16868,3581,Other,MSa29_05_1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.948185,MSa29_05,16760.5,3584.5,Other,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.402847,MSa29_05,16888.5,3590,Other,MSa29_05_1
0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,14.961139,MSa29_05,16844.5,3591.5,Other,MSa29_05_1
0,0,0,9,0,0,0,0,0,0,5,1,0,0,0,11.968911,MSa29_05,16864.5,3595,TCF7+ CD4 T cells,MSa29_05_1
0,1,2,13,1,0,0,0,0,0,2,3,0,0,0,24.935232,MSa29_05,16910,3603,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20.945595,MSa29_05,16802.5,3602,Other,MSa29_05_1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.467616,MSa29_05,16767,3601.5,Other,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,13.465025,MSa29_05,16838.5,3601.5,TCF7- CD4 T cells,MSa29_05_1
0,4,0,6,0,0,1,0,0,0,1,3,0,0,0,27.428755,MSa29_05,16851.5,3608,EPCAM+ cells,MSa29_05_1
0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,9.974092,MSa29_05,16869.5,3607.5,Other,MSa29_05_1
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20.945595,MSa29_05,16877,3619.5,Other,MSa29_05_1
0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,12.467616,MSa29_05,16900,3617.5,Other,MSa29_05_1
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12.96632,MSa29_05,16915,3619.5,Other,MSa29_05_1
1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,13.96373,MSa29_05,16861.5,3628,EPCAM+ cells,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24.935232,MSa29_05,16906.5,3634.5,Other,MSa29_05_1
1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,8.477979,MSa29_05,16904.5,3660.5,EPCAM+ cells,MSa29_05_1
1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,27.92746,MSa29_05,16908.5,3673.5,EPCAM+ cells,MSa29_05_1
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,11.968911,MSa29_05,16910,3758.5,Other,MSa29_05_1
