CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2018,4,PHAF,8,REAR,8,2.258503851,0.138912158,0.0298,0.1192
Nov_2018,4,PHAF,8,SYCA,8,6.755461039,0.325478727,4.00E-04,0.0144
Nov_2018,4,PHAF,8,TRAN,8,8.328293541,0.372992836,5.00E-04,0.015
Nov_2018,4,PHAF,8,TRST,8,4.427413566,0.240262343,3.00E-04,0.0138
Nov_2018,4,REAR,8,SYCA,8,7.004632045,0.33348035,5.00E-04,0.015
Nov_2018,4,REAR,8,TRAN,8,9.630599134,0.407547819,3.00E-04,0.0138
Nov_2018,4,REAR,8,TRST,8,5.145992604,0.268776486,5.00E-04,0.015
Nov_2018,4,SYCA,8,TRAN,8,17.76624366,0.559280595,2.00E-04,0.0106
Nov_2018,4,SYCA,8,TRST,8,8.042197519,0.364854616,3.00E-04,0.0138
Nov_2018,4,TRAN,8,TRST,8,6.168609265,0.305851989,3.00E-04,0.0138
Nov_2018,5,AEME,8,COTA,8,5.982683384,0.299393393,4.00E-04,0.0111
Nov_2018,5,AEME,8,HINI,8,2.93775514,0.173444185,0.0022,0.0242
Nov_2018,5,AEME,8,KOEL,8,2.37370371,0.144970481,0.0083,0.0664
Nov_2018,5,AEME,8,LOAF,8,4.903152016,0.259382774,2.00E-04,0.0088
Nov_2018,5,AEME,8,OUOU,8,2.185222019,0.13501341,0.0481,0.2405
Nov_2018,5,AEME,8,PHAF,8,2.645780316,0.158946007,0.0014,0.0196
Nov_2018,5,AEME,8,REAR,8,2.898339426,0.171516227,0.0014,0.0196
Nov_2018,5,AEME,8,SYCA,8,7.104344168,0.336629469,1.00E-04,0.0055
Nov_2018,5,AEME,8,TRAN,8,4.716643828,0.252002649,3.00E-04,0.0111
Nov_2018,5,AEME,8,TRST,8,1.709251206,0.10880539,0.0737,0.2405
Nov_2018,5,COTA,8,HINI,8,4.50554509,0.243470001,7.00E-04,0.0111
Nov_2018,5,COTA,8,KOEL,8,6.814932713,0.327405945,5.00E-04,0.0111
Nov_2018,5,COTA,8,LOAF,8,11.78005389,0.456944502,1.00E-04,0.0055
Nov_2018,5,COTA,8,OUOU,8,8.460728937,0.376689864,3.00E-04,0.0111
Nov_2018,5,COTA,8,PHAF,8,5.003474091,0.263292599,0.0016,0.0196
Nov_2018,5,COTA,8,REAR,8,9.732284395,0.410086287,3.00E-04,0.0111
Nov_2018,5,COTA,8,SYCA,8,19.51181188,0.582236853,1.00E-04,0.0055
Nov_2018,5,COTA,8,TRAN,8,16.80445879,0.545520339,4.00E-04,0.0111
Nov_2018,5,COTA,8,TRST,8,10.36794874,0.425474825,3.00E-04,0.0111
Nov_2018,5,HINI,8,KOEL,8,3.071913192,0.179939598,0.0058,0.058
Nov_2018,5,HINI,8,LOAF,8,5.104729947,0.267197179,3.00E-04,0.0111
Nov_2018,5,HINI,8,OUOU,8,4.398168246,0.239054681,2.00E-04,0.0088
Nov_2018,5,HINI,8,PHAF,8,2.815845591,0.167451918,0.0084,0.0664
Nov_2018,5,HINI,8,REAR,8,4.597339664,0.247204156,6.00E-04,0.0111
Nov_2018,5,HINI,8,SYCA,8,7.628407323,0.352703147,4.00E-04,0.0111
Nov_2018,5,HINI,8,TRAN,8,8.149369524,0.367927833,1.00E-04,0.0055
Nov_2018,5,HINI,8,TRST,8,5.129411324,0.268142665,1.00E-04,0.0055
Nov_2018,5,KOEL,8,LOAF,8,5.040302868,0.264717578,5.00E-04,0.0111
Nov_2018,5,KOEL,8,OUOU,8,2.931759263,0.173151485,0.006,0.058
Nov_2018,5,KOEL,8,PHAF,8,0.912378579,0.061182633,0.4769,0.9538
Nov_2018,5,KOEL,8,REAR,8,0.8280027,0.055840474,0.5666,0.9538
Nov_2018,5,KOEL,8,SYCA,8,8.011366696,0.363964983,2.00E-04,0.0088
Nov_2018,5,KOEL,8,TRAN,8,7.221139713,0.340280485,3.00E-04,0.0111
Nov_2018,5,KOEL,8,TRST,8,4.646505969,0.249189096,2.00E-04,0.0088
Nov_2018,5,LOAF,8,OUOU,8,5.169591116,0.26967665,1.00E-04,0.0055
Nov_2018,5,LOAF,8,PHAF,8,6.67160994,0.322742639,2.00E-04,0.0088
Nov_2018,5,LOAF,8,REAR,8,6.739689252,0.324965778,5.00E-04,0.0111
Nov_2018,5,LOAF,8,SYCA,8,4.205827093,0.231015437,6.00E-04,0.0111
Nov_2018,5,LOAF,8,TRAN,8,7.189868388,0.339306892,1.00E-04,0.0055
Nov_2018,5,LOAF,8,TRST,8,5.165934557,0.269537316,3.00E-04,0.0111
Nov_2018,5,OUOU,8,PHAF,8,3.523991191,0.201095239,5.00E-04,0.0111
Nov_2018,5,OUOU,8,REAR,8,2.496260766,0.151322824,0.0217,0.1302
Nov_2018,5,OUOU,8,SYCA,8,8.801026142,0.385992546,4.00E-04,0.0111
Nov_2018,5,OUOU,8,TRAN,8,5.396342694,0.278214444,1.00E-04,0.0055
Nov_2018,5,OUOU,8,TRST,8,3.392439032,0.195052518,3.00E-04,0.0111
Nov_2018,5,PHAF,8,REAR,8,1.754590768,0.111370127,0.0582,0.2405
Nov_2018,5,PHAF,8,SYCA,8,10.20320899,0.421564305,3.00E-04,0.0111
Nov_2018,5,PHAF,8,TRAN,8,7.741785071,0.356078631,2.00E-04,0.0088
Nov_2018,5,PHAF,8,TRST,8,5.037600192,0.264613194,3.00E-04,0.0111
Nov_2018,5,REAR,8,SYCA,8,10.67059034,0.4325227,1.00E-04,0.0055
Nov_2018,5,REAR,8,TRAN,8,7.569783709,0.350943886,3.00E-04,0.0111
Nov_2018,5,REAR,8,TRST,8,5.030038162,0.264320971,1.00E-04,0.0055
Nov_2018,5,SYCA,8,TRAN,8,16.10864899,0.53501733,2.00E-04,0.0088
Nov_2018,5,SYCA,8,TRST,8,9.234238885,0.397440989,1.00E-04,0.0055
Nov_2018,5,TRAN,8,TRST,8,4.521377365,0.244116692,4.00E-04,0.0111
Nov_2018,6,AEME,8,COTA,8,4.686926412,0.250813125,2.00E-04,0.0098
Nov_2018,6,AEME,8,HINI,8,2.759470057,0.164651391,0.0108,0.108
Nov_2018,6,AEME,8,KOEL,8,2.545457927,0.153846327,0.0051,0.0663
Nov_2018,6,AEME,8,LOAF,8,3.696256045,0.208872206,2.00E-04,0.0098
Nov_2018,6,AEME,8,OUOU,8,2.571668069,0.155184623,0.0271,0.1626
Nov_2018,6,AEME,8,PHAF,8,2.779743616,0.165660673,0.0016,0.032
Nov_2018,6,AEME,8,REAR,8,2.728520676,0.163105915,0.0046,0.0644
Nov_2018,6,AEME,8,SYCA,8,5.450684415,0.280230983,2.00E-04,0.0098
Nov_2018,6,AEME,8,TRAN,8,5.332926128,0.275846817,2.00E-04,0.0098
