CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,5,HINI,8,LOAF,8,6.984730265,0.332848227,2.00E-04,0.009
Apr_2019,5,HINI,8,OUOU,8,7.733686757,0.355838696,6.00E-04,0.012
Apr_2019,5,HINI,8,PHAF,8,13.32917421,0.487726929,5.00E-04,0.012
Apr_2019,5,HINI,8,REAR,8,6.630106157,0.321380128,4.00E-04,0.012
Apr_2019,5,HINI,8,SYCA,8,10.29635877,0.423781969,1.00E-04,0.0055
Apr_2019,5,HINI,8,TRST,8,23.17696868,0.623422767,1.00E-04,0.0055
Apr_2019,5,COTA,8,KOEL,8,2.141262919,0.132657707,0.024,0.1008
Apr_2019,5,COTA,8,LOAF,8,10.5710456,0.430223678,2.00E-04,0.009
Apr_2019,5,COTA,8,OUOU,8,5.660072364,0.287896823,5.00E-04,0.012
Apr_2019,5,COTA,8,PHAF,8,1.453881509,0.094078728,0.2031,0.3186
Apr_2019,5,COTA,8,REAR,8,5.418522069,0.27903885,4.00E-04,0.012
Apr_2019,5,COTA,8,SYCA,8,5.981600929,0.29935544,3.00E-04,0.012
Apr_2019,5,COTA,8,TRST,8,29.25439947,0.676333502,2.00E-04,0.009
Apr_2019,5,KOEL,8,LOAF,8,4.967051096,0.261877878,0.0013,0.0182
Apr_2019,5,KOEL,8,OUOU,8,2.250261867,0.138475422,0.018,0.1008
Apr_2019,5,KOEL,8,PHAF,8,1.540580735,0.099132765,0.1062,0.3186
Apr_2019,5,KOEL,8,REAR,8,2.512745955,0.152170085,0.014,0.098
Apr_2019,5,KOEL,8,SYCA,8,2.465990798,0.149762673,0.0029,0.029
Apr_2019,5,KOEL,8,TRST,8,15.17944646,0.520210227,3.00E-04,0.012
Apr_2019,5,LOAF,8,OUOU,8,3.046654815,0.178724497,0.0016,0.0208
Apr_2019,5,LOAF,8,PHAF,8,6.840301405,0.328224687,4.00E-04,0.012
Apr_2019,5,LOAF,8,REAR,8,3.06454751,0.17958563,4.00E-04,0.012
Apr_2019,5,LOAF,8,SYCA,8,7.116486353,0.337010913,1.00E-04,0.0055
Apr_2019,5,LOAF,8,TRST,8,6.865421484,0.329033444,3.00E-04,0.012
Apr_2019,5,OUOU,8,PHAF,8,2.964837012,0.17476366,0.0024,0.0264
