SampleID,TopSeqSpeciesID
PNG_19_AEME_11,['Aepyceros melampus']
PNG_19_COTA_01,['Connochaetes taurinus']
PNG_19_HINI_01,['Hippotragus niger']
PNG_19_HINI_02,['Hippotragus niger']
PNG_19_OUOU_01,['Aepyceros melampus']
PNG_19_OUOU_02,['Ourebia ourebi']
PNG_19_PHAF_01,['Phacochoerus africanus']
PNG_19_PHAF_02,['Phacochoerus africanus']
PNG_19_PHAF_06,['Phacochoerus africanus']
PNG_19_PHAF_10,['Phacochoerus africanus']
PNG_19_SYCA_01,['Syncerus caffer']
PNG_19_SYCA_02,['Syncerus caffer']
PNG_19_SYCA_03,['Syncerus caffer']
PNG_19_SYCA_04,['Kobus ellipsiprymnus']
PNG_19_SYCA_05,['Kobus ellipsiprymnus']
PNG_19_SYCA_06,['Syncerus caffer']
PNG_19_SYCA_07,['Syncerus caffer']
PNG_19_SYCA_08,['Kobus ellipsiprymnus']
PNG_19_TRAN_01,['Tragelaphus angasii']
PNG_19_TRAN_02,['Tragelaphus angasii']
PNG_19_TRAN_04,['Tragelaphus angasii']
PNG_19_TRAN_05,['Tragelaphus angasii']
PNG_19_TRAN_06,['Tragelaphus angasii']
PNG_19_TRAN_07,['Tragelaphus angasii']
PNG_19_TRAN_08,['Tragelaphus angasii']
PNG_19_TRAN_09,['Tragelaphus angasii']
PNG_19_TRAN_10,['Tragelaphus angasii']
PNG_19_TRAN_11,['Tragelaphus angasii']
PNG_19_TRST_02,['Tragelaphus strepsiceros']
PNG_19_TRST_03,['Tragelaphus strepsiceros']
13A,['Loxodonta africana']
13B,['Eudorcas thomsonii']
PNG_18_AEME_58,['Aepyceros melampus']
PNG_18_COTA_23,['Connochaetes taurinus']
PNG_18_COTA_24,['Connochaetes taurinus']
PNG_18_COTA_25,['Connochaetes taurinus']
PNG_18_COTA_26,['Connochaetes taurinus']
PNG_18_COTA_27,['Connochaetes taurinus']
PNG_18_COTA_28,['Hippotragus niger']
PNG_18_COTA_30,['Connochaetes taurinus']
PNG_18_COTA_42,['Connochaetes taurinus']
PNG_18_COTA_43,['Connochaetes taurinus']
PNG_18_HINI_16,['Hippotragus niger']
PNG_18_HINI_17,['Hippotragus niger']
PNG_18_HINI_18,['Hippotragus niger']
PNG_18_HINI_19,['Hippotragus niger']
PNG_18_HINI_20,['Hippotragus niger']
PNG_18_HINI_21,['Hippotragus niger']
PNG_18_HINI_22,['Hippotragus niger']
PNG_18_HINI_23,['Hippotragus niger']
PNG_18_SYCA_11,['Syncerus caffer']
PNG_18_SYCA_12,['Kobus ellipsiprymnus']
PNG_18_TRAN_16,['Tragelaphus angasii']
PNG_18_TRAN_17,['Tragelaphus angasii']
PNG_18_TRSC_06,['Tragelaphus scriptus']
PNG_18_TRSC_07,['Tragelaphus scriptus']
PNG_18_TRST_17,['Tragelaphus strepsiceros']
PNG_18_TRST_39,['Tragelaphus strepsiceros']
PNG_19_AEME_43,['Aepyceros melampus']
PNG_19_ALBU_01,['Tragelaphus angasii']
PNG_19_ALBU_02,['Tragelaphus angasii']
PNG_19_ALBU_03,['Hippotragus niger']
PNG_19_ALBU_04,['Hippotragus niger']
PNG_19_ALBU_05,['Hippotragus niger']
PNG_19_ALBU_06,['Alcelaphus buselaphus']
PNG_19_ALBU_07,['Alcelaphus buselaphus']
PNG_19_ALBU_08,['Hippotragus niger']
PNG_19_ALBU_09,['Hippotragus niger']
PNG_19_ALBU_10,['Hippotragus niger']
PNG_19_ALBU_11,['Hippotragus niger']
PNG_19_ALBU_12,['Hippotragus niger']
PNG_19_ALBU_14,['Kobus ellipsiprymnus']
PNG_19_ALBU_15,['Alcelaphus buselaphus']
PNG_19_ALBU_16,['Alcelaphus buselaphus']
PNG_19_ALBU_17,['Alcelaphus buselaphus']
PNG_19_ALBU_18,['Alcelaphus buselaphus']
PNG_19_ALBU_19,['Alcelaphus buselaphus']
PNG_19_ALBU_20,['Alcelaphus buselaphus']
PNG_19_ALBU_22,['Hippotragus niger']
PNG_19_ALBU_23,['Hippotragus niger']
PNG_19_ALBU_24,['Alcelaphus buselaphus']
PNG_19_ALBU_25,['Hippotragus niger']
PNG_19_ALBU_33,['Alcelaphus buselaphus']
PNG_19_ALBU_34,['Alcelaphus buselaphus']
PNG_19_ALBU_35,['Alcelaphus buselaphus']
PNG_19_ALBU_36,['Alcelaphus buselaphus']
PNG_19_ALBU_37,['Hippotragus niger']
PNG_19_ALBU_40,['Alcelaphus buselaphus']
PNG_19_ALBU_43,['Alcelaphus buselaphus']
PNG_19_ALBU_44,['Alcelaphus buselaphus']
PNG_19_ALBU_45,['Alcelaphus buselaphus']
PNG_19_COTA_02,['Connochaetes taurinus']
PNG_19_COTA_03,['Connochaetes taurinus']
PNG_19_COTA_04,['Connochaetes taurinus']
PNG_19_COTA_05,['Connochaetes taurinus']
PNG_19_COTA_06,['Connochaetes taurinus']
PNG_19_COTA_07,['Connochaetes taurinus']
PNG_19_COTA_08,['Connochaetes taurinus']
PNG_19_COTA_09,['Connochaetes taurinus']
PNG_19_COTA_10,['Connochaetes taurinus']
PNG_19_COTA_11,['Connochaetes taurinus']
PNG_19_COTA_12,['Connochaetes taurinus']
PNG_19_COTA_13,['Connochaetes taurinus']
PNG_19_COTA_14,['Connochaetes taurinus']
PNG_19_COTA_15,['Connochaetes taurinus']
PNG_19_COTA_20,['Kobus ellipsiprymnus']
PNG_19_COTA_21,['Kobus ellipsiprymnus']
PNG_19_COTA_23,['Connochaetes taurinus']
PNG_19_COTA_24,['Connochaetes taurinus']
PNG_19_COTA_26,['Connochaetes taurinus']
PNG_19_COTA_27,['Connochaetes taurinus']
PNG_19_COTA_28,['Connochaetes taurinus']
PNG_19_COTA_29,['Connochaetes taurinus']
PNG_19_COTA_30,['Connochaetes taurinus']
PNG_19_COTA_31,['Connochaetes taurinus']
PNG_19_COTA_32,['Connochaetes taurinus']
PNG_19_COTA_33,['Connochaetes taurinus']
PNG_19_COTA_35,['Connochaetes taurinus']
PNG_19_COTA_36,['Connochaetes taurinus']
PNG_19_COTA_37,['Connochaetes taurinus']
PNG_19_COTA_40,['Connochaetes taurinus']
PNG_19_COTA_41,['Connochaetes taurinus']
PNG_19_COTA_42,['Connochaetes taurinus']
PNG_19_COTA_43,['Connochaetes taurinus']
PNG_19_COTA_45,['Connochaetes taurinus']
PNG_19_HINI_03,['Hippotragus niger']
PNG_19_HINI_04,['Hippotragus niger']
PNG_19_HINI_05,['Hippotragus niger']
PNG_19_HINI_06,['Hippotragus niger']
PNG_19_HINI_07,['Hippotragus niger']
PNG_19_HINI_09,['Hippotragus niger']
PNG_19_HINI_10,['Hippotragus niger']
PNG_19_HINI_11,['Hippotragus niger']
PNG_19_HINI_12,['Hippotragus niger']
PNG_19_HINI_15,['Hippotragus niger']
PNG_19_HINI_17,['Hippotragus niger']
PNG_19_HINI_20,['Hippotragus niger']
PNG_19_HINI_21,['Hippotragus niger']
PNG_19_HINI_22,['Hippotragus niger']
PNG_19_HINI_23,['Hippotragus niger']
PNG_19_HINI_24,['Hippotragus niger']
PNG_19_HINI_25,['Hippotragus niger']
PNG_19_HINI_26,['Hippotragus niger']
PNG_19_HINI_28,['Hippotragus niger']
PNG_19_HINI_29,['Hippotragus niger']
PNG_19_HINI_32,['Hippotragus niger']
PNG_19_HINI_33,['Hippotragus niger']
PNG_19_HINI_34,['Hippotragus niger']
PNG_19_HINI_35,['Hippotragus niger']
PNG_19_HINI_36,['Hippotragus niger']
PNG_19_HINI_37,['Hippotragus niger']
PNG_19_HINI_38,['Hippotragus niger']
PNG_19_HINI_40,['Hippotragus niger']
PNG_19_HINI_41,['Hippotragus niger']
PNG_19_HINI_42,['Hippotragus niger']
PNG_19_HINI_43,['Hippotragus niger']
PNG_19_HINI_44,['Hippotragus niger']
PNG_19_KOEL_22,['Kobus ellipsiprymnus']
PNG_19_KOEL_33,['Kobus ellipsiprymnus']
PNG_19_KOEL_36,['Kobus ellipsiprymnus']
PNG_19_KOEL_39,['Hippotragus niger']
PNG_19_KOEL_41,['Kobus ellipsiprymnus']
PNG_19_KOEL_42,['Kobus ellipsiprymnus']
PNG_19_KOEL_44,['Kobus ellipsiprymnus']
PNG_19_KOEL_53,['Kobus ellipsiprymnus']
PNG_19_KOEL_61,['Kobus ellipsiprymnus']
PNG_19_OUOU_04,['Aepyceros melampus']
PNG_19_OUOU_05,['Aepyceros melampus']
PNG_19_OUOU_09,['Ourebia ourebi']
PNG_19_OUOU_10,['Ourebia ourebi']
PNG_19_OUOU_11,['Ourebia ourebi']
PNG_19_OUOU_12,['Aepyceros melampus']
PNG_19_OUOU_13,['Aepyceros melampus']
PNG_19_OUOU_33,['Ourebia ourebi']
PNG_19_OUOU_46,['Ourebia ourebi']
PNG_19_OUOU_59,['Ourebia ourebi']
PNG_19_PHAF_20,['Phacochoerus africanus']
PNG_19_PHAF_21,['Papio ursinus']
PNG_19_PHAF_34,['Phacochoerus africanus']
PNG_19_PHAF_53,['Phacochoerus africanus']
PNG_19_REAR_02,['Redunca arundinum']
PNG_19_REAR_03,['Redunca arundinum']
PNG_19_REAR_04,['Redunca arundinum']
PNG_19_REAR_08,['Redunca arundinum']
PNG_19_REAR_09,['Redunca arundinum']
PNG_19_REAR_11,['Aepyceros melampus']
PNG_19_REAR_12,['Redunca arundinum']
PNG_19_REAR_13,['Redunca arundinum']
