,node_id,traj_idx,frame_idx
944,944,24,5989
945,945,17,8463
946,946,16,2636
947,947,0,0
948,948,32,3885
949,949,24,3419
950,950,16,8945
951,951,33,5457
952,952,24,3301
953,953,36,4149
954,954,25,6480
955,955,26,9932
956,956,50,1321
957,957,72,4950
958,958,0,4194
959,959,1,6496
960,960,0,5902
961,961,16,8629
962,962,72,3637
963,963,8,2931
964,964,40,7956
965,965,24,7961
966,966,0,2999
967,967,27,3743
968,968,11,6291
969,969,8,8313
970,970,0,2733
971,971,48,428
972,972,40,3952
973,973,6,5715
974,974,32,5747
975,975,40,4587
976,976,24,2492
977,977,0,5100
978,978,0,2013
979,979,4,1174
980,980,0,180
981,981,24,6778
982,982,40,4003
983,983,24,2404
984,984,1,7233
985,985,0,1313
986,986,72,3768
987,987,82,4773
988,988,24,8111
989,989,16,3143
990,990,41,4541
991,991,16,7909
992,992,33,2210
993,993,24,6289
994,994,72,1697
995,995,0,1903
996,996,29,6599
997,997,0,2510
998,998,0,3866
999,999,17,8044
1000,1000,0,5390
1001,1001,1,7470
1002,1002,1,3593
1003,1003,0,3373
1004,1004,0,4814
1005,1005,41,3555
1006,1006,38,4591
1007,1007,72,3084
1008,1008,1,3578
1009,1009,0,1917
1010,1010,1,6942
1011,1011,0,5318
1012,1012,0,4316
1013,1013,24,3271
1014,1014,81,304
1015,1015,35,4816
1016,1016,0,4826
1017,1017,0,6653
1018,1018,2,7508
1019,1019,33,5557
1020,1020,16,8094
1021,1021,24,7151
1022,1022,40,3389
1023,1023,25,7526
1024,1024,41,9059
1025,1025,0,6327
1026,1026,24,6451
1027,1027,25,1286
1028,1028,17,8887
1029,1029,18,8027
1030,1030,23,8591
1031,1031,32,4051
1032,1032,0,277
1033,1033,16,1853
1034,1034,9,7341
1035,1035,8,2402
1036,1036,1,7535
1037,1037,1,3929
1038,1038,40,2078
1039,1039,24,8979
1040,1040,24,2527
1041,1041,16,7505
1042,1042,8,2048
1043,1043,0,4470
1044,1044,0,1426
1045,1045,0,7239
1046,1046,15,8025
1047,1047,48,852
1048,1048,16,4762
1049,1049,32,2594
1050,1050,25,3770
1051,1051,2,8283
1052,1052,0,6776
1053,1053,16,6727
1054,1054,0,1207
1055,1055,0,7010
1056,1056,8,7349
1057,1057,0,6375
1058,1058,33,9059
1059,1059,43,4097
1060,1060,24,4786
1061,1061,40,7001
1062,1062,0,7767
1063,1063,24,1185
1064,1064,0,5850
1065,1065,2,8365
1066,1066,24,10437
1067,1067,24,1479
1068,1068,0,5464
1069,1069,41,5540
1070,1070,24,219
1071,1071,32,6378
1072,1072,9,8600
1073,1073,24,7311
1074,1074,24,5411
1075,1075,24,5282
1076,1076,16,8076
