"","metrics","plot","treatment","number","values","refvalues"
"113","H","BEon","1200kHz","010",31.010499529541,31.088750272989
"114","CA","BEon","1200kHz","010",125.080229175,125.073542635
"115","D","BEon","1200kHz","011",0.0969990720455449,0.0964946009121473
"116","H","BEon","1200kHz","011",12.738500446081,12.624749600887
"117","CA","BEon","1200kHz","011",12.112793465,12.1625449300001
"118","D","BEon","1200kHz","012",0.461764044145852,0.463760130673257
"119","H","BEon","1200kHz","012",31.59549960494,31.620000289753
"120","CA","BEon","1200kHz","012",32.23976791,31.16453294
"121","D","BEon","1200kHz","013",0.313073227667536,0.311785835313833
"122","H","BEon","1200kHz","013",23.471750676632,23.467999339103
"123","CA","BEon","1200kHz","013",49.1118949150002,49.3717774200002
"124","D","BEon","1200kHz","014",0.153577142773693,0.154436472839629
"125","H","BEon","1200kHz","014",20.526749432087,20.510749459266
"126","CA","BEon","1200kHz","014",24.4636098550002,24.75416731
"405","D","GAB","0600kHz","002",0.33531533887022,0.337666410409003
"415","H","GAB","0600kHz","002",28.9495239257819,28.997009277344
"425","CA","GAB","0600kHz","002",65.0505024699999,65.6849657849998
"436","D","GAB","0600kHz","003",0.37053461627664,0.372269836942632
"446","H","GAB","0600kHz","003",26.618469238281,26.61474609375
"456","CA","GAB","0600kHz","003",127.323705035,126.182630775
"465","D","GAB","0600kHz","004",0.287065838729462,0.288825095758124
"475","H","GAB","0600kHz","004",27.810974121094,27.8154907226569
"485","CA","GAB","0600kHz","004",45.9767012800001,45.9665677099999
"495","D","GAB","0600kHz","005",0.915811072178801,0.916455226686195
"505","H","GAB","0600kHz","005",39.612487792969,39.623046875
"515","CA","GAB","0600kHz","005",173.665151915001,177.056287295
"525","D","GAB","0600kHz","006",0.637339123308206,0.639380527624438
"535","H","GAB","0600kHz","006",27.191040039063,27.226745605469
"545","CA","GAB","0600kHz","006",104.141004035,104.27155448
"555","D","GAB","0600kHz","007",0.382947421930313,0.385158914848079
"565","H","GAB","0600kHz","007",20.776489257812,20.75927734375
"575","CA","GAB","0600kHz","007",20.33288022,20.590917255
"585","D","GAB","0600kHz","008",0.353140929260415,0.352763779675457
"595","H","GAB","0600kHz","008",23.42529296875,23.421997070313
"605","CA","GAB","0600kHz","008",31.8965761400001,31.8182578049999
"615","D","GAB","0600kHz","009",0.201693892867994,0.205427954124022
"625","H","GAB","0600kHz","009",19.283020019531,19.2567749023431
"635","CA","GAB","0600kHz","009",33.283813595,33.04087131
"645","D","GAB","0600kHz","010",0.10305636573337,0.1053701417427
"655","H","GAB","0600kHz","010",12.769470214844,12.7632446289069
"665","CA","GAB","0600kHz","010",9.57092607999999,9.41857261
"675","D","GAB","0600kHz","011",0.124939213452687,0.123576160832247
"685","H","GAB","0600kHz","011",12.991027832031,12.988037109375
"695","CA","GAB","0600kHz","011",32.82299198,33.268412135
"705","D","GAB","0600kHz","012",0.0717964288746475,0.0752830984664332
"715","H","GAB","0600kHz","012",12.640258789062,12.630798339844
"725","CA","GAB","0600kHz","012",3.33416865,3.38589178
"735","D","GAB","0600kHz","013",0.161484966906515,0.161778130350535
"745","H","GAB","0600kHz","013",16.35498046875,16.344970703125
"755","CA","GAB","0600kHz","013",41.68938861,42.7515994699999
"765","D","GAB","0600kHz","014",0.0944124075085015,0.0962088340660436
"775","H","GAB","0600kHz","014",10.4889526367181,10.472473144531
"785","CA","GAB","0600kHz","014",21.3231549500001,20.7774102
"795","D","GAB","1200kHz","002",0.333590130778287,0.337666410409003
"805","H","GAB","1200kHz","002",28.953979492187,28.997009277344
"815","CA","GAB","1200kHz","002",65.1532726000001,65.6849657849998
"823","D","GAB","1200kHz","003",0.369373922231121,0.372269836942632
"833","H","GAB","1200kHz","003",26.626770019531,26.61474609375
"843","CA","GAB","1200kHz","003",126.39953461,126.182630775
"853","D","GAB","1200kHz","004",0.285202185825233,0.288825095758124
"863","H","GAB","1200kHz","004",27.79150390625,27.8154907226569
"873","CA","GAB","1200kHz","004",45.758133575,45.9665677099999
"883","D","GAB","1200kHz","005",0.914451040490071,0.916455226686195
"893","H","GAB","1200kHz","005",39.6477661132819,39.623046875
"903","CA","GAB","1200kHz","005",175.444191530001,177.056287295
"912","D","GAB","1200kHz","006",0.637041933030378,0.639380527624438
"922","H","GAB","1200kHz","006",27.253295898437,27.226745605469
"932","CA","GAB","1200kHz","006",103.90064683,104.27155448
"942","D","GAB","1200kHz","007",0.381584562096074,0.385158914848079
"952","H","GAB","1200kHz","007",20.788696289063,20.75927734375
"962","CA","GAB","1200kHz","007",21.7859834,20.590917255
