ID_pair;Percentage;KDE;Indice
G2_2016;0.911889272387456;KDE50;TI
H1_2016;0.958881572846863;KDE50;TI
H6_2016;0.974843145324773;KDE50;TI
A6_2016;0.89707490652147;KDE50;TI
H10_2017;0.906122771585772;KDE50;TI
A2_2017;0.972768975458747;KDE50;TI
G2_2018;0.879573742993175;KDE50;TI
H4_2019;0.944642416544085;KDE50;TI
H11_2018;0.934036617491567;KDE50;LCI
H4_2018;0.97815063740141;KDE50;LCI
G3_2018;0.91023337427697;KDE50;LCI
G4_2019;0.92751633582909;KDE50;LCI
H10_2019;0.929176944024503;KDE50;LCI
G2_2019;0.872808716916922;KDE50;LCI
D15_2020;0.925269924312365;KDE50;LCI
HA17_2018;0.947282074029104;KDE50;LCI
HA12_2019;0.952954893742306;KDE50;LCI
HA13_2020;0.865690543001686;KDE50;LCI
HA11_2019;0.868591575485627;KDE50;LCI
H11_2019;0.911724567767349;KDE50;LCI
H7_2020;0.809336602372019;KDE50;LCI
H10_2020;0.954480976133872;KDE50;LCI
A4_2020;0.828107067311523;KDE50;LCI
A6_2020_1;0.939303571136799;KDE50;LCI
A6_2020_2;0.994330669336297;KDE50;LCI
H6_2021;0.752007849144313;KDE50;LCI
HA17_2020;0.882661411981176;KDE50;LCI
HA1_2020;0.573190815695397;KDE50;LCI
HA9_2020;0.913347292263092;KDE50;LCI
G2_2022;0.965092338205809;KDE50;LCI
A6_2021;0.962794533634495;KDE50;LCI
A2_2021;0.988970996949373;KDE50;LCI
H10_2022;0.903251728516477;KDE50;LCI
HA15_2022;0.863366328494978;KDE50;LCI
H4_2016;0.961873979853491;KDE50;LCI
G2_2016;0.976437139447201;KDE50;LCI
H1_2016;0.900933201041847;KDE50;LCI
H6_2016;0.847722148523221;KDE50;LCI
A6_2016;0.814602095197166;KDE50;LCI
H10_2017;0.899358136484178;KDE50;LCI
A2_2017;0.989494463240341;KDE50;LCI
G2_2018;0.902151591738914;KDE50;LCI
H4_2019;0.871999822962298;KDE50;LCI
