ID_pair;KDE;Indice;Percentage;SizeKDE_adult;Sex_Juvenile;Region;Type_indep
H6_2021;KDE50;TI;0,872661545;10511331,96;Female;Massif_Central;Early
HA17_2020;KDE50;TI;0,897871397;4376308,995;Male;Alps;Early
HA1_2020;KDE50;TI;0,911892003;6347489,62;Female;Alps;Early
HA9_2020;KDE50;TI;0,866340234;8817231,651;Male;Alps;Early
G2_2022;KDE50;TI;0,937729017;11066541,04;Male;Massif_Central;Early
A6_2021;KDE50;TI;0,877686936;6455357,583;Male;Massif_Central;Late
A2_2021;KDE50;TI;0,929184175;6719333,305;Female;Massif_Central;Early
H10_2022;KDE50;TI;0,942358183;9019360,66;Male;Massif_Central;Late
HA15_2022;KDE50;TI;0,926771449;3903316,983;Male;Alps;Early
H4_2016;KDE50;TI;0,98332608;29231951,47;Female;Massif_Central;Late
G2_2016;KDE50;TI;0,950315311;11066541,04;Female;Massif_Central;Early
H1_2016;KDE50;TI;0,980327281;12179931,54;Male;Massif_Central;Early
H6_2016;KDE50;TI;0,986644481;17310861,02;Male;Massif_Central;Early
A6_2016;KDE50;TI;0,897024569;6455357,583;Female;Massif_Central;Late
H10_2017;KDE50;TI;0,892954703;9019360,66;Female;Massif_Central;Early
A2_2017;KDE50;TI;0,985567339;6719333,305;Male;Massif_Central;Early
G2_2018;KDE50;TI;0,924882499;11066541,04;Female;Massif_Central;Late
H4_2019;KDE50;TI;0,969224503;29231951,47;Female;Massif_Central;Early
H11_2018;KDE50;LCI;0,873155773;5321632,328;Female;Massif_Central;Early
H4_2018;KDE50;LCI;0,97393562;29231951,47;Male;Massif_Central;Early
G3_2018;KDE50;LCI;0,895992987;13795497,85;Female;Massif_Central;Late
G4_2019;KDE50;LCI;0,932907957;19719570,8;Male;Massif_Central;Late
H10_2019;KDE50;LCI;0,918848359;9019360,66;Male;Massif_Central;Late
G2_2019;KDE50;LCI;0,84288835;11066541,04;Male;Massif_Central;Late
D15_2020;KDE50;LCI;0,910171817;11152347,28;Female;Alps;Early
HA17_2018;KDE50;LCI;0,912827309;4376308,995;Male;Alps;Early
HA12_2019;KDE50;LCI;0,972414223;6475393,912;Female;Alps;Late
HA13_2020;KDE50;LCI;0,868145624;3563904,618;Male;Alps;Late
HA11_2019;KDE50;LCI;0,864854608;6895303,449;Female;Alps;Early
H11_2019;KDE50;LCI;0,924030816;5321632,328;Male;Massif_Central;Early
H7_2020;KDE50;LCI;0,765061104;13164468,54;Female;Massif_Central;Early
H10_2020;KDE50;LCI;0,906334179;9019360,66;Female;Massif_Central;Early
A4_2020;KDE50;LCI;0,826458026;21324574,62;Male;Massif_Central;Early
A6_2020_1;KDE50;LCI;0,94134735;6455357,583;Female;Massif_Central;Early
A6_2020_2;KDE50;LCI;0,993462299;6455357,583;Female;Massif_Central;Early
H6_2021;KDE50;LCI;0,681571236;10511331,96;Female;Massif_Central;Early
HA17_2020;KDE50;LCI;0,895339066;4376308,995;Male;Alps;Early
HA1_2020;KDE50;LCI;0,568532837;6347489,62;Female;Alps;Early
HA9_2020;KDE50;LCI;0,898643054;8817231,651;Male;Alps;Early
G2_2022;KDE50;LCI;0,957319735;11066541,04;Male;Massif_Central;Early
A6_2021;KDE50;LCI;0,960982245;6455357,583;Male;Massif_Central;Late
A2_2021;KDE50;LCI;0,966690825;6719333,305;Female;Massif_Central;Early
H10_2022;KDE50;LCI;0,88595704;9019360,66;Male;Massif_Central;Late
HA15_2022;KDE50;LCI;0,915355837;3903316,983;Male;Alps;Early
H4_2016;KDE50;LCI;0,972186061;29231951,47;Female;Massif_Central;Late
G2_2016;KDE50;LCI;0,960840126;11066541,04;Female;Massif_Central;Early
H1_2016;KDE50;LCI;0,879155129;12179931,54;Male;Massif_Central;Early
H6_2016;KDE50;LCI;0,901755934;17310861,02;Male;Massif_Central;Early
A6_2016;KDE50;LCI;0,823467491;6455357,583;Female;Massif_Central;Late
H10_2017;KDE50;LCI;0,903482593;9019360,66;Female;Massif_Central;Early
A2_2017;KDE50;LCI;0,947088293;6719333,305;Male;Massif_Central;Early
G2_2018;KDE50;LCI;0,80136497;11066541,04;Female;Massif_Central;Late
H4_2019;KDE50;LCI;0,865689016;29231951,47;Female;Massif_Central;Early
