"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Antennating Nestmate","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Trash Maintenance","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Antennating Nestmate","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Nest Maintenance","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Resting","Exploring","Brood Care","Resting"
