Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
retrocurva,Bishop,2021,2021258,258,9/15/21,226,69,131,0,0,12,0,0,13,0,0,0,0,1,0,0.053097345,1222.927434,0,0,0,0,0.057522124,1324.838053,0,0,0,0,0.004424779,101.9106195,0,23031.8,57516.4,14675.2,188.1,23031.8,2772,16849.3,0,0,0
retrocurva,Bishop,2021,2021272,272,9/29/21,227,86,102,0,0,32,0,0,1,0,0,0,0,1,5,0.140969163,2536.444053,0,0,0,0,0.004405286,79.26387665,0,0,0,0,0.004405286,79.26387665,0.022026432,17992.9,49858.2,17992.9,794.9,17992.9,877.2,11962.5,0,237.8,0
retrocurva,Bishop,2021,2021286,286,10/13/21,340,114,178,6,0,15,0,0,4,0,0,0,0,2,24,0.044117647,1273.883824,0,0,0,0,0.011764706,339.7023529,0,0,0,0,0.005882353,169.8511765,0.070588235,28874.7,51422.5,9851.4,84.9,28874.7,254.8,12356.7,0,0,0
retrocurva,Bishop,2021,2021300,300,10/27/21,498,144,227,53,0,56,0,2,0,0,0,0,0,0,17,0.112449799,5707.007229,0,0,0.004016064,203.8216867,0,0,0,0,0,0,0,0,0.034136546,50751.6,74183.7,19648.4,74.1,50751.6,597.9,3070.9,0,40.8,0
retrocurva,Bishop,2021,2021314,314,11/10/21,395,152,89,71,0,65,0,0,3,0,0,0,0,0,15,0.164556962,15456.47342,0,0,0,0,0.007594937,713.3756962,0,0,0,0,0,0,0.037974684,93927.8,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
ceriodaphnia,Cedar,2021,2021158,158,6/7/21,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.4,42677.5,32646.8,6631,1929.5,111.4,1358.8,0,0,0
ceriodaphnia,Cedar,2021,2021204,204,7/23/21,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.9,42763.7,30437.4,570.7,3505.7,135.9,8114,0,0,0
ceriodaphnia,Cedar,2021,2021214,214,8/2/21,7,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.4,38115,30573.2,1358.8,2581.7,231.4,3369.9,0,0,0
ceriodaphnia,Cedar,2021,2021228,228,8/16/21,9,1,8,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.6,17681.9,12599.9,625.1,1087,244.6,3125.3,0,0,0
ceriodaphnia,Cedar,2021,2021256,256,9/13/21,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,42136.7,31850.5,353.3,7473.5,67.9,2391.5,0,0,0
