Sample ID,Lake,Collection Date,Point,Replicate,Preservation,Extraction Method,Species,Habitat,Detection 
LOWX108,Lake of the Woods,8/17/2021,10,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
LOWX112,Lake of the Woods,8/17/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
LOWX113,Lake of the Woods,8/17/2021,10,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
PKEX003,Pike Lake,7/14/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX004,Pike Lake,7/14/2021,1,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX008,Pike Lake,7/14/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX009,Pike Lake,7/14/2021,1,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX013,Pike Lake,7/14/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX014,Pike Lake,7/14/2021,1,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX025,Pike Lake,7/14/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX026,Pike Lake,7/14/2021,3,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX030,Pike Lake,7/14/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX031,Pike Lake,7/14/2021,3,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX035,Pike Lake,7/14/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX036,Pike Lake,7/14/2021,3,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX045,Pike Lake,7/14/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX046,Pike Lake,7/14/2021,5,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX050,Pike Lake,7/14/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX051,Pike Lake,7/14/2021,5,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX055,Pike Lake,7/14/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
PKEX056,Pike Lake,7/14/2021,5,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
PKEX070,Pike Lake,7/15/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX071,Pike Lake,7/15/2021,7,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
